File,RÂ²,is_param,is_param_stderr,n_param,n_param_stderr,rs_param,rs_param_stderr,rsh_param,rsh_param_stderr
6_manual_noL_20250411_202920.csv,0.2633421937828335,6.191344507841069e-13,,3.0666648017216356,,1.2589254117941648,,22907.859738999647,
3_manual_noL_20250411_201154.csv,0.2582075080615135,6.988150583164134e-13,,3.107761106483693,,1.2589254117941648,,207571.86716596718,
2_manual_noL_20250411_201344.csv,0.1967431770177358,1.0527382595540531e-14,,2.6664525529096066,,1.2589254117941648,,2136322.7873856477,
15_manual_noL_20250411_200512.csv,0.08968102336887651,1.012216450061549e-15,,2.4124001117779565,,1.2589254117941648,,2841898.771551508,
14_manual_noL_20250411_204052.csv,0.29544830914350817,2.704906746173058e-13,,2.9647215125158333,,1.2589254117941648,,2293477.90000521,
1_manual_noL_20250411_195542.csv,0.22702709647232688,2.591575671206341e-13,,2.9779337742750966,,1.2589254117941648,,23993661.286711924,
11_manual_noL_20250411_204818.csv,0.09039895828640077,1.0000000555111512e-15,,2.4192401148730847,,1.2589254117941648,,918008.8903525148,
12_manual_noL_20250411_200940.csv,0.23332723201774141,2.1377735607710647e-13,,2.958621936047037,,1.2589254117941648,,658336.1005575559,
4_manual_noL_20250411_201523.csv,0.23277579555309347,9.887469719340337e-14,,2.8513321846106843,,1.2589254117941648,,1662901.8881990786,
5_manual_noL_20250411_203444.csv,0.22598112806044268,5.844240188871928e-14,,2.8442780001804913,,1.2589254117941648,,132992.22603579986,
8_manual_noL_20250411_202627.csv,0.24672922027348532,1.315594816243984e-12,,3.1705765009096276,,1.2589254117941648,,1288106.3419710866,
13_manual_noL_20250411_200737.csv,0.05461865923822029,1.0224015805681237e-15,,2.45560753142468,,1.2589254117941648,,472618.4762060733,
7_manual_noL_20250411_203713.csv,0.2837700416130553,1.5467858050323737e-12,,3.1841445749548196,,1.2589254117941648,,315518.43418677174,
10_manual_noL_20250411_200100.csv,0.195272545072546,8.245740052104521e-14,,2.8352598946807004,,1.2589254117941648,,105128.71783598413,
9_manual_noL_20250411_204645.csv,0.3024847516764093,6.6875208601271e-13,,3.0876433845082096,,1.2589254117941648,,8552.599495848262,
